event_id,name,event_type,critical_issues,boroughs_reported,start_local,end_local,tz_local,start_utc,end_utc,duration_hours_reported,window_hours_used,subhourly_snapped,unit,wind_peak_ms,wind_mean_ms,wind_peak_cellmax_ms,precip_total_mm,precip_peak_rate_mmh,precip_peak_rate_cellmax_mmh,n_hours_wind,n_hours_precip,status
SW0390,Winter Storm Event,Winter Weather,Freezing Precipitation,"Bronx, Manhattan, Queens",2015-01-18 06:00,2015-01-19 06:00,EST,2015-01-18 11:00,2015-01-19 11:00,24,24,FALSE,Brooklyn,4.723,3.372,4.779,34.903,5.964,5.98,25,24,ok
SW0390,Winter Storm Event,Winter Weather,Freezing Precipitation,"Bronx, Manhattan, Queens",2015-01-18 06:00,2015-01-19 06:00,EST,2015-01-18 11:00,2015-01-19 11:00,24,24,FALSE,Queens,5.145,3.489,5.216,35.553,6.279,6.28,25,24,ok
SW0390,Winter Storm Event,Winter Weather,Freezing Precipitation,"Bronx, Manhattan, Queens",2015-01-18 06:00,2015-01-19 06:00,EST,2015-01-18 11:00,2015-01-19 11:00,24,24,FALSE,Manhattan,3.985,2.718,4.006,34.939,5.955,5.955,25,24,ok
SW0390,Winter Storm Event,Winter Weather,Freezing Precipitation,"Bronx, Manhattan, Queens",2015-01-18 06:00,2015-01-19 06:00,EST,2015-01-18 11:00,2015-01-19 11:00,24,24,FALSE,Bronx,3.772,2.569,3.8,35.05,6.064,6.064,25,24,ok
SW0390,Winter Storm Event,Winter Weather,Freezing Precipitation,"Bronx, Manhattan, Queens",2015-01-18 06:00,2015-01-19 06:00,EST,2015-01-18 11:00,2015-01-19 11:00,24,24,FALSE,Staten Island,4.167,2.712,4.167,34.118,5.652,5.74,25,24,ok
SW0390,Winter Storm Event,Winter Weather,Freezing Precipitation,"Bronx, Manhattan, Queens",2015-01-18 06:00,2015-01-19 06:00,EST,2015-01-18 11:00,2015-01-19 11:00,24,24,FALSE,ALL NYC,4.393,3.126,4.628,35.019,6.018,6.055,25,24,ok
SW0391,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",2015-01-24 00:00,2015-01-25 00:00,EST,2015-01-24 05:00,2015-01-25 05:00,24,24,FALSE,Brooklyn,5.155,3.595,5.155,22.335,3.591,3.591,25,24,ok
SW0391,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",2015-01-24 00:00,2015-01-25 00:00,EST,2015-01-24 05:00,2015-01-25 05:00,24,24,FALSE,Queens,5.056,3.627,5.12,22.456,3.323,3.436,25,24,ok
SW0391,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",2015-01-24 00:00,2015-01-25 00:00,EST,2015-01-24 05:00,2015-01-25 05:00,24,24,FALSE,Manhattan,4.264,2.997,4.291,21.407,3.124,3.214,25,24,ok
SW0391,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",2015-01-24 00:00,2015-01-25 00:00,EST,2015-01-24 05:00,2015-01-25 05:00,24,24,FALSE,Bronx,4.11,2.785,4.11,21.426,3.431,3.431,25,24,ok
SW0391,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",2015-01-24 00:00,2015-01-25 00:00,EST,2015-01-24 05:00,2015-01-25 05:00,24,24,FALSE,Staten Island,4.511,3.041,4.511,22.197,3.629,3.629,25,24,ok
SW0391,"Light Snow, High Wind Event",Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",2015-01-24 00:00,2015-01-25 00:00,EST,2015-01-24 05:00,2015-01-25 05:00,24,24,FALSE,ALL NYC,4.709,3.343,4.805,22.149,3.312,3.483,25,24,ok
SW0392,"January 2015 North American Blizzard ""Winter Storm Juno""",Winter Weather,"High Winds, Heavy Snow","Bronx, Brooklyn, Manhattan, Staten Island, Queens",2015-01-26 08:00,2015-01-27 08:00,EST,2015-01-26 13:00,2015-01-27 13:00,24,24,FALSE,Brooklyn,7.663,6.776,7.668,15.3,1.444,1.444,25,24,ok
SW0392,"January 2015 North American Blizzard ""Winter Storm Juno""",Winter Weather,"High Winds, Heavy Snow","Bronx, Brooklyn, Manhattan, Staten Island, Queens",2015-01-26 08:00,2015-01-27 08:00,EST,2015-01-26 13:00,2015-01-27 13:00,24,24,FALSE,Queens,7.793,6.92,7.794,16.441,1.545,1.545,25,24,ok
SW0392,"January 2015 North American Blizzard ""Winter Storm Juno""",Winter Weather,"High Winds, Heavy Snow","Bronx, Brooklyn, Manhattan, Staten Island, Queens",2015-01-26 08:00,2015-01-27 08:00,EST,2015-01-26 13:00,2015-01-27 13:00,24,24,FALSE,Manhattan,6.337,5.642,6.342,14.219,1.286,1.286,25,24,ok
SW0392,"January 2015 North American Blizzard ""Winter Storm Juno""",Winter Weather,"High Winds, Heavy Snow","Bronx, Brooklyn, Manhattan, Staten Island, Queens",2015-01-26 08:00,2015-01-27 08:00,EST,2015-01-26 13:00,2015-01-27 13:00,24,24,FALSE,Bronx,5.948,5.295,5.987,14.527,1.318,1.318,25,24,ok
SW0392,"January 2015 North American Blizzard ""Winter Storm Juno""",Winter Weather,"High Winds, Heavy Snow","Bronx, Brooklyn, Manhattan, Staten Island, Queens",2015-01-26 08:00,2015-01-27 08:00,EST,2015-01-26 13:00,2015-01-27 13:00,24,24,FALSE,Staten Island,6.46,5.589,6.46,13.172,1.332,1.332,25,24,ok
SW0392,"January 2015 North American Blizzard ""Winter Storm Juno""",Winter Weather,"High Winds, Heavy Snow","Bronx, Brooklyn, Manhattan, Staten Island, Queens",2015-01-26 08:00,2015-01-27 08:00,EST,2015-01-26 13:00,2015-01-27 13:00,24,24,FALSE,ALL NYC,7.124,6.31,7.147,15.121,1.417,1.429,25,24,ok
SW0393,High Wind Event,Winter Weather,High Winds,Queens,2015-01-30 18:00,2015-01-31 15:55,EST,2015-01-30 23:00,2015-01-31 21:00,21.9167,22,FALSE,Brooklyn,7.898,6.957,7.899,0.001,0.001,0.001,23,22,ok
SW0393,High Wind Event,Winter Weather,High Winds,Queens,2015-01-30 18:00,2015-01-31 15:55,EST,2015-01-30 23:00,2015-01-31 21:00,21.9167,22,FALSE,Queens,7.888,6.952,7.899,0.001,0.001,0.001,23,22,ok
SW0393,High Wind Event,Winter Weather,High Winds,Queens,2015-01-30 18:00,2015-01-31 15:55,EST,2015-01-30 23:00,2015-01-31 21:00,21.9167,22,FALSE,Manhattan,6.725,5.932,6.725,0.001,0.001,0.001,23,22,ok
SW0393,High Wind Event,Winter Weather,High Winds,Queens,2015-01-30 18:00,2015-01-31 15:55,EST,2015-01-30 23:00,2015-01-31 21:00,21.9167,22,FALSE,Bronx,6.281,5.509,6.288,0.001,0.001,0.001,23,22,ok
SW0393,High Wind Event,Winter Weather,High Winds,Queens,2015-01-30 18:00,2015-01-31 15:55,EST,2015-01-30 23:00,2015-01-31 21:00,21.9167,22,FALSE,Staten Island,6.848,5.949,6.848,0.001,0.001,0.001,23,22,ok
SW0393,High Wind Event,Winter Weather,High Winds,Queens,2015-01-30 18:00,2015-01-31 15:55,EST,2015-01-30 23:00,2015-01-31 21:00,21.9167,22,FALSE,ALL NYC,7.366,6.484,7.384,0.001,0.001,0.001,23,22,ok
SW0394,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Brooklyn, Bronx",2015-02-01 21:00,2015-02-02 21:00,EST,2015-02-02 02:00,2015-02-03 02:00,24,24,FALSE,Brooklyn,7.082,4.149,7.082,26.063,2.941,2.941,25,24,ok
SW0394,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Brooklyn, Bronx",2015-02-01 21:00,2015-02-02 21:00,EST,2015-02-02 02:00,2015-02-03 02:00,24,24,FALSE,Queens,6.848,4.264,6.848,26.101,2.995,2.995,25,24,ok
SW0394,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Brooklyn, Bronx",2015-02-01 21:00,2015-02-02 21:00,EST,2015-02-02 02:00,2015-02-03 02:00,24,24,FALSE,Manhattan,5.938,3.741,5.938,26.74,2.945,2.945,25,24,ok
SW0394,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Brooklyn, Bronx",2015-02-01 21:00,2015-02-02 21:00,EST,2015-02-02 02:00,2015-02-03 02:00,24,24,FALSE,Bronx,5.395,3.633,5.395,26.931,2.989,2.989,25,24,ok
SW0394,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Brooklyn, Bronx",2015-02-01 21:00,2015-02-02 21:00,EST,2015-02-02 02:00,2015-02-03 02:00,24,24,FALSE,Staten Island,6.402,3.558,6.402,26.737,2.927,2.948,25,24,ok
SW0394,Winter Storm Event,Winter Weather,Heavy Snow,"Queens, Staten Island, Brooklyn, Bronx",2015-02-01 21:00,2015-02-02 21:00,EST,2015-02-02 02:00,2015-02-03 02:00,24,24,FALSE,ALL NYC,6.544,3.976,6.544,26.379,2.965,2.969,25,24,ok
