level,taxon,model,B0,B1,B2
Order,Cornales,B0 + (DBH * B1) + (DBH^2 * B2),5.8018,2.4278,-0.0473
Order,Dipsacales,B0 + (DBH * B1),9.104,0.6597,
Order,Ebenales,e^(B0 + (ln(DBH) * B1)),1.7794,0.6205,
Order,Ericales,e^(B0 + (ln(DBH) * B1)),1.9878,0.4638,
Order,Euphorbiales,e^(B0 + (ln(DBH) * B1)),1.5739,0.6114,
Order,Fabales,B0 + (DBH * B1) + (DBH^2 * B2),6.5789,2.0282,-0.0344
Order,Fagales,B0 + (DBH * B1) + (DBH^2 * B2),7.1598,1.8053,-0.013
Order,Gentianales,e^(B0 + (ln(DBH) * B1)),1.9985,0.3371,
Order,Hamamelidales,B0 + (DBH * B1),5.3249,1.5446,
Order,Juglandales,B0 + (DBH * B1) + (DBH^2 * B2),5.9877,2.0752,-0.0236
Order,Laurales,B0 + (DBH * B1) + (DBH^2 * B2),5.4106,2.023,-0.0303
Order,Magnoliales,B0 + (DBH * B1) + (DBH^2 * B2),5.9132,1.9798,-0.019
Order,Malvales,B0 + (DBH * B1) + (DBH^2 * B2),4.76,1.7351,-0.0141
Order,Myrtales,e^(B0 + (ln(DBH) * B1)),0.7593,0.8744,
Order,Pinales,B0 + (DBH * B1) + (DBH^2 * B2),1.786,1.732,-0.0221
Order,Rhamnales,e^(B0 + (ln(DBH) * B1)),1.6669,0.5314,
Order,Rosales,B0 + (DBH * B1) + (DBH^2 * B2),5.4942,1.9993,-0.0357
Order,Salicales,B0 + (DBH * B1),2.6658,1.54,
Order,Sapindales,B0 + (DBH * B1) + (DBH^2 * B2),5.775,2.1928,-0.0294
Order,Scrophulariales,B0 + (DBH * B1) + (DBH^2 * B2),4.4295,2.2431,-0.0344
Order,Urticales,B0 + (DBH * B1) + (DBH^2 * B2),5.4569,2.192,-0.0296
Family,Aceraceae,B0 + (DBH * B1) + (DBH^2 * B2),6.3661,2.102,-0.0267
Family,Anacardiaceae,e^(B0 + (ln(DBH) * B1)),1.6627,0.4459,
Family,Arecaceae,B0 + (ln(DBH) * B1),0.2355,3.7689,
Family,Betulaceae,B0 + (DBH * B1) + (DBH^2 * B2),7.0333,1.9312,-0.0309
Family,Bignoniaceae,e^(B0 + (ln(DBH) * B1)),2.1261,0.4604,
Family,Cornaceae,e^(B0 + (ln(DBH) * B1)),2.0322,0.5071,
Family,Cupressaceae,e^(B0 + (ln(DBH) * B1)),1.0354,0.6262,
Family,Euphorbiaceae,e^(B0 + (ln(DBH) * B1)),1.5732,0.6126,
Family,Fagaceae,B0 + (DBH * B1) + (DBH^2 * B2),7.122,1.8167,-0.0132
Family,Hamamelidaceae,B0 + (DBH * B1),5.5438,1.4528,
Family,Lythraceae,e^(B0 + (ln(DBH) * B1)),1.917,0.4138,
Family,Magnoliaceae,B0 + (DBH * B1) + (DBH^2 * B2),5.906,1.9807,-0.0191
Family,Moraceae,B0 + (ln(DBH) * B1),4.9539,8.2482,
Family,Myrtaceae,e^(B0 + (ln(DBH) * B1)),0.0761,1.1534,
Family,Nyssaceae,B0 + (DBH * B1) + (DBH^2 * B2),5.9613,2.0986,-0.0233
Family,Oleaceae,B0 + (DBH * B1) + (DBH^2 * B2),4.3871,2.2158,-0.0317
Family,Pinaceae,e^(B0 + (ln(DBH) * B1)),1.3208,0.664,
Family,Platanaceae,B0 + (DBH * B1) + (DBH^2 * B2),6.3993,2.0634,-0.017
Family,Rhamnaceae,e^(B0 + (ln(DBH) * B1)),1.6555,0.5428,
Family,Rosaceae,B0 + (DBH * B1) + (DBH^2 * B2),5.4745,2.0111,-0.0362
Family,Rutaceae,e^(B0 + (ln(DBH) * B1)),2.2451,0.3713,
Family,Scrophulariaceae,B0 + (ln(DBH) * B1),4.1441,7.1404,
Family,Simaroubaceae,B0 + (DBH * B1) + (DBH^2 * B2),4.6508,2.5085,-0.0456
Family,Tiliaceae,B0 + (DBH * B1) + (DBH^2 * B2),4.8669,1.7481,-0.0148
Family,Ulmaceae,B0 + (DBH * B1) + (DBH^2 * B2),5.4986,2.0888,-0.0227
Genus,Betula,B0 + (DBH * B1),6.2408,1.5854,
Genus,Carpinus,e^(B0 + (ln(DBH) * B1)),2.303,0.4174,
Genus,Carya,B0 + (DBH * B1) + (DBH^2 * B2),6.035,2.0755,-0.0255
Genus,Catalpa,e^(B0 + (ln(DBH) * B1)),2.1204,0.4598,
Genus,Celtis,B0 + (DBH * B1) + (DBH^2 * B2),4.3952,2.6692,-0.0625
Genus,Crataegus,e^(B0 + (ln(DBH) * B1)),1.8242,0.4338,
Genus,Cupressus,B0 + (DBH * B1),3.2457,0.6505,
Genus,Eucalyptus,e^(B0 + (ln(DBH) * B1)),-0.0023,1.1862,
Genus,Fagus,B0 + (DBH * B1) + (DBH^2 * B2),7.7776,2.4516,-0.0348
Genus,Fraxinus,B0 + (DBH * B1) + (DBH^2 * B2),4.5348,2.3021,-0.0356
Genus,Gleditsia,B0 + (ln(DBH) * B1),1.3613,11.2361,
Genus,Juglans,B0 + (DBH * B1),7.01,1.6792,
Genus,Juniperus,B0 + (DBH * B1) + (DBH^2 * B2),2.3613,1.764,-0.0299
Genus,Liquidambar,B0 + (DBH * B1) + (DBH^2 * B2),4.9881,1.6033,-0.0076
Genus,Liriodendron,B0 + (DBH * B1) + (DBH^2 * B2),5.5748,1.9963,-0.0186
Genus,Magnolia,e^(B0 + (ln(DBH) * B1)),2.0499,0.4761,
Genus,Malus,e^(B0 + (ln(DBH) * B1)),1.9915,0.4699,
Genus,Morus,B0 + (ln(DBH) * B1),5.0899,8.2704,
Genus,Ostrya,e^(B0 + (ln(DBH) * B1)),1.9482,0.5244,
Genus,Phellodendron,e^(B0 + (ln(DBH) * B1)),2.2625,0.4344,
Genus,Picea,B0 + (DBH * B1) + (DBH^2 * B2),2.8875,1.4568,-0.0125
Genus,Pinus,e^(B0 + (ln(DBH) * B1)),1.3312,0.6651,
Genus,Populus,B0 + (DBH * B1),2.4739,1.5565,
Genus,Prunus,B0 + (DBH * B1) + (DBH^2 * B2),5.9632,1.9593,-0.0327
Genus,Pyrus,B0 + (DBH * B1),4.1849,1.5245,
Genus,Quercus,B0 + (DBH * B1) + (DBH^2 * B2),5.6153,1.9184,-0.0148
Genus,Rhus,e^(B0 + (ln(DBH) * B1)),1.6641,0.4392,
Genus,Robinia,B0 + (DBH * B1) + (DBH^2 * B2),6.7187,1.9207,-0.035
Genus,Salix,e^(B0 + (ln(DBH) * B1)),1.6602,0.5908,
Genus,Sassafras,B0 + (DBH * B1) + (DBH^2 * B2),4.8868,2.1566,-0.0339
Genus,Syringa,e^(B0 + (ln(DBH) * B1)),1.5839,0.4015,
