level,taxon,model,B0,B1,B2,,,,,
Order,Cornales,B0 + (DBH * B1) + (DBH^2 * B2),8.623,4.2058,-0.0629,,,,,
Order,Dipsacales,e^(B0 + (ln(DBH) * B1)),2.4026,0.1627,,,,,,
Order,Ebenales,e^(B0 + (ln(DBH) * B1)),1.9989,0.7689,,,,,,
Order,Ericales,B0 + (DBH * B1),11.9413,4.2381,,,,,,
Order,Euphorbiales,e^(B0 + (ln(DBH) * B1)),2.628,0.3701,,,,,,
Order,Fabales,e^(B0 + (ln(DBH) * B1)),2.46,0.5804,,,,,,
Order,Fagales,B0 + (DBH * B1) + (DBH^2 * B2),11.2564,4.61,-0.0735,,,,,
Order,Gentianales,B0 + (DBH * B1),10.1716,1.9588,,,,,,
Order,Hamamelidales,B0 + (DBH * B1) + (DBH^2 * B2),11.3341,5.5504,-0.1127,,,,,
Order,Juglandales,B0 + (DBH * B1) + (DBH^2 * B2),9.5467,5.7118,-0.1189,,,,,
Order,Laurales,B0 + (DBH * B1) + (DBH^2 * B2),5.5344,6.3008,-0.1808,,,,,
Order,Magnoliales,B0 + (DBH * B1) + (DBH^2 * B2),12.4282,5.3742,-0.0792,,,,,
Order,Malvales,e^(B0 + (ln(DBH) * B1)),2.5694,0.4278,,,,,,
Order,Myrtales,e^(B0 + (ln(DBH) * B1)),2.6401,0.4236,,,,,,
Order,Pinales,B0 + (DBH * B1) + (DBH^2 * B2),0.7293,5.4819,-0.0988,,,,,
Order,Rhamnales,e^(B0 + (ln(DBH) * B1)),2.603,0.204,,,,,,
Order,Rosales,B0 + (DBH * B1) + (DBH^2 * B2),8.1664,3.729,-0.066,,,,,
Order,Salicales,B0 + (DBH * B1) + (DBH^2 * B2),5.4057,5.6113,-0.1238,,,,,
Order,Sapindales,e^(B0 + (ln(DBH) * B1)),2.564,0.5532,,,,,,
Order,Scrophulariales,e^(B0 + (ln(DBH) * B1)),2.6073,0.5432,,,,,,
Order,Urticales,e^(B0 + (ln(DBH) * B1)),2.4549,0.547,,,,,,
Family,Aceraceae,e^(B0 + (ln(DBH) * B1)),2.6269,0.5275,,,,,,
Family,Anacardiaceae,e^(B0 + (ln(DBH) * B1)),2.3661,0.4619,,,,,,
Family,Arecaceae,B0 + (DBH * B1),5.0976,0.8852,,,,,,
Family,Betulaceae,e^(B0 + (ln(DBH) * B1)),2.5904,0.5756,,,,,,
Family,Bignoniaceae,e^(B0 + (ln(DBH) * B1)),2.444,0.5281,,,,,,
Family,Cornaceae,e^(B0 + (ln(DBH) * B1)),2.5895,0.317,,,,,,
Family,Cupressaceae,e^(B0 + (ln(DBH) * B1)),1.9729,0.5997,,,,,,
Family,Euphorbiaceae,e^(B0 + (ln(DBH) * B1)),2.6269,0.3717,,,,,,
Family,Fagaceae,B0 + (DBH * B1) + (DBH^2 * B2),11.3008,4.6004,-0.0726,,,,,
Family,Hamamelidaceae,B0 + (DBH * B1) + (DBH^2 * B2),9.8581,6.1332,-0.1338,,,,,
Family,Lauraceae,B0 + (DBH * B1) + (DBH^2 * B2),5.5344,6.3008,-0.1808,,,,,
Family,Lythraceae,e^(B0 + (ln(DBH) * B1)),2.576,0.2281,,,,,,
Family,Magnoliaceae,B0 + (DBH * B1) + (DBH^2 * B2),12.4815,5.3673,-0.079,,,,,
Family,Moraceae,e^(B0 + (ln(DBH) * B1)),2.4045,0.4945,,,,,,
Family,Myrtaceae,e^(B0 + (ln(DBH) * B1)),2.6828,0.457,,,,,,
Family,Nyssaceae,B0 + (DBH * B1) + (DBH^2 * B2),5.8481,6.5082,-0.1445,,,,,
Family,Oleaceae,e^(B0 + (ln(DBH) * B1)),2.6141,0.5505,,,,,,
Family,Pinaceae,B0 + (DBH * B1) + (DBH^2 * B2),1.2686,5.7342,-0.1073,,,,,
Family,Platanaceae,e^(B0 + (ln(DBH) * B1)),2.5495,0.5319,,,,,,
Family,Rhamnaceae,e^(B0 + (ln(DBH) * B1)),2.6043,0.214,,,,,,
Family,Rosaceae,B0 + (DBH * B1) + (DBH^2 * B2),8.1208,3.766,-0.0678,,,,,
Family,Rutaceae,e^(B0 + (ln(DBH) * B1)),2.6784,0.1675,,,,,,
Family,Scrophulariaceae,B0 + (ln(DBH) * B1),6.8028,13.064,,,,,,
Family,Simaroubaceae,B0 + (DBH * B1) + (DBH^2 * B2),7.3852,5.0019,-0.1373,,,,,
Family,Tiliaceae,e^(B0 + (ln(DBH) * B1)),2.5996,0.4173,,,,,,
Family,Ulmaceae,e^(B0 + (ln(DBH) * B1)),2.4743,0.56,,,,,,
Genus,Betula,e^(B0 + (ln(DBH) * B1)),2.6637,0.5156,,,,,,
Genus,Carpinus,e^(B0 + (ln(DBH) * B1)),2.7671,0.3205,,,,,,
Genus,Carya,B0 + (DBH * B1) + (DBH^2* B2),9.1062,6.0882,-0.1281,,,,,
Genus,Catalpa,e^(B0 + (ln(DBH) * B1)),2.4327,0.5463,,,,,,
Genus,Celtis,e^(B0 + (ln(DBH) * B1)),2.5054,0.5355,,,,,,
Genus,Crataegus,B0 + (ln(DBH) * B1),9.9227,6.9489,,,,,,
Genus,Cupressus,e^(B0 + (ln(DBH) * B1)),2.2087,0.5194,,,,,,
Genus,Eucalyptus,e^(B0 + (ln(DBH) * B1)),2.6662,0.4861,,,,,,
Genus,Fagus,B0 + (DBH * B1) + (DBH^2 * B2),8.7068,5.9258,-0.1087,,,,,
Genus,Fraxinus,e^(B0 + (ln(DBH) * B1)),2.6408,0.5606,,,,,,
Genus,Gleditsia,e^(B0 + (ln(DBH) * B1)),2.2877,0.5429,,,,,,
Genus,Juglans,e^(B0 + (ln(DBH) * B1)),2.437,0.6096,,,,,,
Genus,Juniperus,e^(B0 + (ln(DBH) * B1)),2.1482,0.6457,,,,,,
Genus,Liquidambar,B0 + (DBH * B1) + (DBH^2 * B2),10.0766,6.0952,-0.1325,,,,,
Genus,Liriodendron,B0 + (ln(DBH) * B1),4.1588,27.6253,,,,,,
