"","tree_id","species_common","species_scientific","stump_diameter","height","crown_diameter","closest_address","geometry"
"1",3752424,"London planetree","Platanus x acerifolia",21,64.6431073461329,42.2337,"824 45 STREET",c(-74.0001261189371, 40.6435006039103)
"2",2620939,"European hornbeam","Carpinus betulus",7,29.688631738087,22.5384535296496,"91-05 VANDERVEER STREET",c(-73.7459968246803, 40.7218773549677)
"3",4687552,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"7908 12 AVENUE",c(-74.0121894586386, 40.6191866210297)
"4",2928988,"Red maple","Acer rubrum",8,44.9922628060894,22.1858,"160 HEBERTON AVE",c(-74.1318159094791, 40.6361788146527)
"5",5789144,"Hophornbeam","Ostrya virginiana",3,25.9600996166913,12.4823080304241,"119-08 227 STREET",c(-73.735842373405, 40.6897461071066)
"6",4636095,"Ginkgo","Ginkgo biloba",14,55.3084,30.6918,"1111 EAST 72 STREET",c(-73.9163494992111, 40.6272127973647)
"7",2929451,"Silver maple","Acer saccharinum",32,73.8665688508231,49.5391239237967,"318 JEWETT AVENUE",c(-74.1309020861973, 40.6295155056635)
"8",2240102,"London planetree","Platanus x acerifolia",22,66.2625897610565,43.5661,"3148 TIEMANN AVENUE",c(-73.8414445373005, 40.8734230554245)
"9",4696039,"Callery pear","Pyrus calleryana",15,34.9096,29.9184,"309 EAST 16 STREET",c(-73.9638113371766, 40.6430090829552)
"10",1052075,"Japanese zelkova","Zelkova serrata",12,47.7437287814288,27.2954,"725 OCEAN PARKWAY",c(-73.9717474470662, 40.6309918842734)
"11",2487858,"London planetree","Platanus x acerifolia",32,80.8766315788498,55.0201,"22-38 37 STREET",c(-73.9084869653342, 40.773052749898)
"12",3659183,"Goldenrain tree","Koelreuteria paniculata",6,34.99486506778,17.8734,"91 STREET NICHOLAS AVENUE",c(-73.9192982043243, 40.7061300330099)
"13",1785992,"Japanese zelkova","Zelkova serrata",17,58.0264808465456,34.4479,"1734 EAST 23 STREET",c(-73.9501445036362, 40.6082384526787)
"14",2491677,"Norway maple","Acer platanoides",10,38.4090105252715,24.8235,"40-60 ELBERTSON STREET",c(-73.8781452684987, 40.747295405139)
