tree_id,stump_diameter,species_common,species_scientific,borough,closest_address,service_request_date,storm_date,storm_event_id,storm_issues,tree_condition,longitude,latitude
16800192,3,Yoshino cherry,Prunus x yedoensis,Bronx,1066 EAST 218 STREET,2015-03-05T10:00:00Z,2015-03-05 00:00:00,SW0400,Heavy Snow,Tree Down,-73.85292571605063,40.87959460993297
3999288,8,Norway maple,Acer platanoides,Brooklyn,7801 RIDGE BOULEVARD,2015-03-05T10:00:00Z,2015-03-05 00:00:00,SW0400,Heavy Snow,Limb Down,-74.0314187917439,40.62981354818276
4153219,11,Red maple,Acer rubrum,Queens,149-15 115 STREET,2015-03-05T19:17:13Z,2015-03-05 00:00:00,SW0400,Heavy Snow,Tree Down,-73.82528016641498,40.6689383066346
144839,34,London planetree,Platanus x acerifolia,Brooklyn,2634 EAST 29 STREET,2015-04-02T21:43:20Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Limb Down,-73.94067564823814,40.58856198458467
4628288,38,London planetree,Platanus x acerifolia,Brooklyn,609 EAST 23 STREET,2015-04-03T01:40:50Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Tree Split,-73.95522973018645,40.635216357910274
5785400,3,Purple leaf plum,Prunus cerasifera,Brooklyn,2869 HARWAY AVENUE,2015-04-02T20:38:58Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Limb Down,-73.98357142038256,40.58774993962299
4004269,4,Japanese maple,Acer palmatum,Queens,157-06 10 AVENUE,2015-04-02T18:42:01Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Limb Down,-73.80392196975032,40.79274203235667
14490731,3,Japanese zelkova,Zelkova serrata,Manhattan,324 EAST 81 STREET,2015-04-02T20:26:58Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Tree Split,-73.9531324526274,40.77424058249729
1411039,24,London planetree,Platanus x acerifolia,Queens,58-023 69 AVENUE,2015-04-03T00:49:58Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Limb Down,-73.90175084397357,40.701472247855264
4122290,11,Littleleaf linden,Tilia cordata,Queens,85-01 86 AVENUE,2015-04-02T23:49:40Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Limb Down,-73.85917402198913,40.69372894755739
1408865,18,Pin oak,Quercus palustris,Staten Island,111 DEWEY AVENUE,2015-04-02T18:15:16Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Tree Leaning,-74.14677934625362,40.555979529900654
2606762,23,London planetree,Platanus x acerifolia,Staten Island,286 RARITAN AVENUE,2015-04-02T20:49:42Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Limb Down,-74.09062521959461,40.5902460825698
4683774,26,Littleleaf linden,Tilia cordata,Brooklyn,930 OCEAN AVENUE,2015-04-02T23:50:44Z,2015-04-02 00:00:00,SW0402,"High Winds, Flash Flooding",Limb Down,-73.95907837917457,40.63995529433345
